"Event","lat","lon","depth","temp","date","year","month","day"
"2012-1155",31.38570786,-80.89646912,19,26.98486958,2012-09-19,2012,9,19
"2012-1156",31.36428261,-80.8911972,18,27.05222988,2012-09-19,2012,9,19
"2012-1157",31.59662819,-80.79113007,19,27.01749372,2012-09-20,2012,9,20
"2012-1158",31.09548187,-79.92794037,52,25.90855026,2012-09-20,2012,9,20
"2012-1159",30.35144043,-80.62825775,37,27.14001999,2012-09-21,2012,9,21
"2012-1160",30.37475777,-80.33535767,43,27.82103348,2012-09-21,2012,9,21
"2012-1161",30.40173531,-80.21452332,62,23.62649918,2012-09-21,2012,9,21
"2012-1162",30.23456192,-80.45854187,38,27.38201683,2012-09-22,2012,9,22
"2012-1163",30.23074913,-80.4495163,39,27.45615312,2012-09-22,2012,9,22
"2012-1165",29.23225021,-80.69875336,24,26.82596684,2012-09-23,2012,9,23
"2012-1166",29.16938019,-80.51621246,26,27.04291398,2012-09-23,2012,9,23
"2012-1168",29.13095474,-80.42643738,31,27.28195,2012-09-24,2012,9,24
"2012-1169",29.12625313,-80.4130249,31,27.37863286,2012-09-24,2012,9,24
"2012-1173",29.32452774,-80.40602875,31,20.91420078,2012-07-13,2012,7,13
"2012-12",32.34083,-79.6175,26,22.64435005,2012-05-09,2012,5,9
"2012-13",32.34867,-79.57983,28,22.75766691,2012-05-09,2012,5,9
"2012-14",32.3344,-79.20349,42,22.16226705,2012-05-09,2012,5,9
"2012-15",32.75867,-78.43933,48,21.98514938,2012-06-05,2012,6,5
"2012-16",32.73233,-78.50283,48,21.74150085,2012-06-05,2012,6,5
"2012-17",32.78984,-78.6441,33,24.14229965,2012-06-05,2012,6,5
"2012-18",33.28017,-78.41817,26,24.36833992,2012-06-06,2012,6,6
"2012-19",33.28182,-78.42634,26,24.37065029,2012-06-06,2012,6,6
"2012-2",32.23492,-79.70168,29,NA,2012-05-01,2012,5,1
"2012-20",33.74032,-77.26333,31,24.67280006,2012-06-12,2012,6,12
"2012-21",33.84833,-77.28567,33,24.61849976,2012-06-12,2012,6,12
"2012-22",33.28945,-77.82228,30,24.71789932,2012-06-13,2012,6,13
"2012-23",32.79767,-78.78217,31,24.96980095,2012-06-18,2012,6,18
"2012-24",32.79483,-78.64983,34,25.06340027,2012-06-18,2012,6,18
"2012-25",33.83333,-77.26417,32,24.66469955,2012-06-19,2012,6,19
"2012-26",34.00322,-77.36284,24,24.59639931,2012-06-19,2012,6,19
